species_id,language,common_name,habitat,basic_id_cues,consumer_advice,enforcement_advice,similar_animals,known_as,average_size_weight,first_responder,traded_as,common_trafficking,notes,disease_name
19,pt,calau-de-pescoço-ruivo,Florestas subtropicais sempre verdes e decíduas,"Calau grande com  cabeça e partes inferiores avermelhados característicos. Machos são pretos na parte superior com primárias externas de pontas brancas, cauda branca com metade basal preta, bico amarelo pálido com uma fileira de cristas pretas verticais na mandíbula superior e quase sem corno (elmo), pele orbital azul e pele vermelha na região gular. A fêmea tem cabeça, pescoço e partes inferiores pretas e  pele orbital mais opaca. O juvenil é como o macho, mas com bico menor, sem sulcos pretos, penas da cauda podem ter pontas estreitamente pretas. Emite notas barulhentas em kup ou kok.","NÃO COMPRE Calaus de pescoço ruivo. A espécie é considerada vulnerável por ser muito explorada pela sua carne e corno (elmo). O comércio internacional desta espécie é ilegal. Nos locais onde o calau-bicórnio não ocorre, o calau de pescoço ruivo é usado em ornamentos cerimoniais para a cabeça, enquanto as penas da cauda são procuradas ocasionalmente por motivos culturais, assim como algumas comunidades usam a gordura do corpo para fins medicinais","INVESTIGUE. Não existe comércio internacional legal em espécimes vivos, suas partes e produtos. Quaisquer documentos apresentados que busquem permitir ou apoiar a negociação são falsos ou ilegais. Também pode existir proteção em nível nacional. Examine cada caso para obter pistas e informações que podem ser úteis na investigação.","calau de Walden, calau de garganta plana, e o calau da Nova Guiné",Calau de pescoço ruivo,Comprimento ~120cm,"Não remover da gaiola/recinto até que alguém com experiência em manejo esteja presente. Oferecer água. Se em uma rede, segurar o bico o tempo todo para evitar ferimentos graves para a face, olhos ou dedos. Caixas transporte de plástico são fáceis de limpar e desinfetar e podem ser mais resistentes do que caixas de madeira. Fendas grandes e outras aberturas devem ser cobertas com tela para evitar que os Calais manipulem a caixa ou mordam. Risco de lesão ao corno pode ser evitado enfaixando ou colocando fita adesiva e uma proteção de papelão. Enfaixar a longa cauda com fita gomada também pode ajudar a evitar abrasão e quebra das penas.  Um pequeno pedaço de corda com nós, presa à parte de superior do recinto, acima do poleiro favorito, pode ser usado pelos calaus para limpar o interior dos bicos. Deve-se dar tempo suficiente para que as aves se acostumem à caixa antes do transporte. Se o tempo de transporte for superior do que duas horas, deve-se fornecer água e alimentação na caixa de transporte.  O recinto deve ser grande o suficiente para permitir que  a ave consiga estender suas asas completamente e confortavelmente.","Animais vivos no comércio de animais de estimação, carne como comida, cascos e penas da cauda como chapéus e lembranças.","Cornos (elmos) de Calau de pescoço ruivo são mais comumente contrabandeados do que o próprio animal. Aves são comumente traficadas como ovos ou como animais sedados. Às vezes escondidas em bolsos feitos especialmente para esta finalidade, são envoltos ao corpo do contrabandista para o transporte. Também encontrados em malas, geralmente embalado firmemente em pequenos cilindros ou tubos (geralmente canos de PCV) de plástico ou papelão. Comumente transportado em gaiolas, geralmente cobertas, por barco ou veículo terrestre.",,"Gripe aviária, Clamidiose, Histoplasmose, Doença de Newcastle, Salmonela, Vírus do Nilo ocidental."
19,fr,Calao à cou roux,Forêts subtropicales à feuillage persistant et à feuilles caduques,"Grand calao à tête et parties inférieures rousses distinctives. Les mâles sont noirs sur le dessus, avec des primaires externes à extrémité blanche, une queue blanche avec une moitié basale noire, un bec jaune pâle avec une rangée de crêtes verticales foncées sur la mandibule supérieure et presque aucun casque, une peau orbitale bleue et une peau rouge gélatineuse. La femelle a la tête, le cou et le dessous noirs et la peau orbitale légèrement plus terne. Les jeunes sont comme les mâles, mais le bec est plus petit sans crêtes foncées, les plumes de la queue peuvent être étroitement sombres à l'extrémité. La voix prend des notes kup ou kok aboyantes très bruyantes.","N'ACHETEZ PAS de calao à cou roux. L'espèce est considérée comme vulnérable car elle est très exploitée pour sa viande et son casque. Le commerce international de cette espèce est illégal. Lorsque le grand calao n'est pas présent, le casque est utilisé dans les coiffures cérémoniales, tandis que les plumes de la queue sont parfois recherchées pour des raisons culturelles et certaines communautés utilisent la graisse corporelle pour une prétendue valeur médicale.","ENQUÊTEZ. Aucun commerce international légal de spécimens vivants, de leurs parties et produits n'est autorisé. Tout document visant à autoriser un tel commerce est faux ou illégal. Des protections nationales peuvent également s'appliquer. Examinez chaque cas pour trouver d'autres pistes d'enquête.","Calao à plis de Visayan, Calao de Visayan, Calao de Papouasie","Calao à cou roux, Calao de montagne",Longueur ~120cm,"Ne sortez pas l'animal de la cage ou de l'enceinte avant l'arrivée d'un préposé aux animaux expérimenté. Fournissez de l'eau. En cas de filet, saisissez le bec en tout temps pour éviter de vous blesser gravement au visage, aux yeux ou aux doigts. Les caisses en plastique sont faciles à nettoyer et à désinfecter et peuvent être plus résistantes que les caisses en bois aux activités de rasage. Les grandes fentes ou autres ouvertures doivent être recouvertes d'un grillage afin que les becs ne puissent pas manipuler la caisse ou mordre. Le risque d'endommagement du casque peut être évité en scotchant le casque et en le rembourrant avec du carton. Le rubanage de la longue queue avec du papier gommé peut aussi prévenir l'abrasion et la casse des plumes. Une courte corde nouée attachée au toit de la volière, au-dessus d'un perchoir favori, peut être utilisée par les calaos pour nettoyer l'intérieur de leur bec. Un calao devrait avoir suffisamment de temps pour s'habituer à la caisse avant le transport. Si le transport dure plus de deux heures, de l'eau et de la nourriture doivent être fournis dans la caisse. Le compartiment doit être assez grand pour permettre au calao de déployer confortablement ses ailes complètement.","Animaux vivants dans le commerce d'animaux de compagnie, viande comme nourriture, casques et plumes de queue comme chapeaux et souvenirs.","Les casques de Calao sont plus souvent introduits en contrebande que l'oiseau lui-même. Les oiseaux sont souvent vendus comme œufs ou comme animaux sédatés. Parfois dissimulés sur le corps du contrebandier dans des poches/pochettes spécialement conçues à cet effet. On les trouve également dans les valises, généralement emballées dans de petits cylindres/tuyaux en plastique ou en carton. Généralement transportés dans des cages, généralement couvertes, par bateau ou véhicule terrestre.",,"Grippe aviaire, chlamydiose, histoplasmose, maladie de Newcastle, salmonellose, virus du Nil occidental."
20,pt,cacatua filipina,"Florestas, áreas de rio ou costeiras, manguezais. A reprodução ocorre entre Janeiro e Julho, e fora do período reprodutivo frequenta arrozais e campos de milho. Voam do continente para ilhas oceânicas por até 8Km para construir ninhos e se reproduzirem.","Pequena cacatua branca com vermelho e amarelo embaixo da cauda. Adultos apresentam uma crista erétil curta, coberturas auriculares  e loro rosados, coberturas inferiores da cauda vermelhas com pontas brancas e cor amarela embaixo das asas e cauda. Machos têm íris pretas-marrons, fêmeas têm íris avermelhadas. Juvenis inicialmente apresentam iris acinzentadas e depois, amarronzadas. A voz é alta, um coaxar áspero, chamado com duas sílabas.","NÃO COMPRE Cacatua filipina. Esta ave é considerada criticamente em perigo. Esta espécie tem apresentado declínio extremamente rápido por conta do desmatamento intenso em sua área de ocorrência, mas também como resultado dos altos preços que as aves alcançam no comércio.","INVESTIGUE. Não existe comércio internacional legal em espécimes vivos, suas partes e produtos. Quaisquer documentos apresentados que busquem permitir ou apoiar a negociação são falsos ou ilegais. Também pode existir proteção em nível nacional. Examine cada caso para obter pistas e informações que podem ser úteis na investigação.","Cacatua-alba, cacatua-das-molucas, Cacatua-de-goffin",Cacatua filipina,Comprimento ~30cm  Peso ~300g,Evite manejar desnecessariamente. Use luvas e máscara. CUIDADO: nunca ofereça avocado/abacate ou chocolate a uma cacatua - pode resultar na morte do animal. Utilizar uma caixa bem ventilada para evitar ferimentos.,Animais vivos no comércio de animais de estimação.,"Aves são comumente traficadas como ovos ou como animais sedados. Às vezes escondidas em bolsos feitos especialmente para esta finalidade, são envoltos ao corpo do contrabandista para o transporte. Também encontrados em malas, geralmente embalado firmemente em pequenos cilindros ou tubos (geralmente canos de PCV) de plástico ou papelão. Comumente transportado em gaiolas, geralmente cobertas, por barco ou veículo terrestre.",,"Psitacose, Salmonela, Campylobacter, Doença de Newcastle, Tuberculose aviária, Alveolite Alérgica, Vírus do Nilo ocidental, Gripe aviária, Mycobacterium, Aspergillus Fumigatus."
20,fr,Cacatoès à ventre rouge,"Forêts, rivières ou zones côtières, mangroves. Il se reproduit entre janvier et juillet, et en dehors de la saison de reproduction, il fréquente les champs de maïs et de riz. Les oiseaux s'envolent de la terre ferme vers les îles au large jusqu'à 8 km de la terre ferme pour se percher et se reproduire.","Petit cacatoès blanc à queue rouge et jaune. Les adultes ont une crête érectile courte, des oreillettes et des oreillons rosâtres, des sous-couvre-queue rouges avec une pointe et un arbre blanc et une suffusion jaune foncé sous les ailes et la queue. Le mâle a un iris brun-noir, la femelle a un iris teinté de rouge. L'iris des juvéniles est d'abord plus gris, puis brunâtre. Voix forte, clapotis dur ou appel râpeux avec deux syllabes.","N'ACHETEZ PAS de cacatoès à ventre rouge. Cet oiseau est considéré en danger critique d'extinction. Cette espèce à longue durée de vie a décliné extrêmement rapidement en raison d'une déforestation extensive dans son aire de répartition, mais aussi en raison des prix élevés que les oiseaux rapportent sur le marché.","ENQUÊTEZ. Aucun commerce international légal de spécimens vivants, de leurs parties et produits n'est autorisé. Tout document visant à autoriser un tel commerce est faux ou illégal. Des protections nationales peuvent également s'appliquer. Examinez chaque cas pour trouver d'autres pistes d'enquête.","Cacatoès blanc, Cacatoès à huppe rouge, Cacatoès de Goffin",Cacatoès des Philippines,Longueur ~30cm Poids ~300g,Évitez de manipuler l'animal inutilement. Portez des gants et un masque. ATTENTION : Ne donnez jamais d'avocat ou de chocolat au cacatoès - cela peut entraîner la mort de l'oiseau. L'oiseau a besoin d'une boîte bien ventilée pour éviter les blessures.,Animaux vivants dans le commerce des animaux de compagnie.,"Les oiseaux sont souvent vendus comme œufs ou comme animaux sédatés. Parfois dissimulés sur le corps du contrebandier dans des poches/pochettes spécialement conçues à cet effet. On les trouve également dans les valises, généralement emballées dans de petits cylindres/tuyaux en plastique ou en carton. Généralement transportés dans des cages, généralement couvertes, par bateau ou véhicule terrestre.",,"Psittacose, salmonellose, campylobactériose, maladie de Newcastle, tuberculose aviaire, alvéolite allergique, virus du Nil occidental, grippe aviaire, mycobactérie, Aspergillus Fumigatus."
22,pt,Marreca-de-java,Terras baixas  alagadas no Subcontinente Indiano e no Sudeste Asiático,"Marreco de tamanho médio, de cor marrom e cabeça marrom com a parte superior escura. Pescoço marrom  liso e longo. Um marrom bem mais claro está presente na parte inferior da cauda. Esta espécie tem amplas, o bico é cinza escuro, olhos amarronzados, pernas e patas cinza escuro, coberteira superior da cauda avermelhada.",NÃO COMPRE  Marreca-de-java. O número populacional desta espécie está em declínio.,EXAMINE cada caso para verificar a proteção sob as leis nacionais. Denuncie às autoridades se necessário.,"Marreca-caneleira, marreca-pintada, marreca-laguaça e marreca-errante","Marreca-de-java, marreca pequena",Comprimento ~41cm Peso ~550g Envergadura de 70 a 74cm,Precisa de bom fluxo de ar na caixa durante o transporte. Evite manusear desnecessariamente.,Animais vivos como chamariz (isca) para a caça.,"Aves são comumente traficadas como ovos ou como animais sedados. Às vezes escondidas em bolsos feitos especialmente para esta finalidade, são envoltos ao corpo do contrabandista para o transporte. Também encontrados em malas, geralmente embalado firmemente em pequenos cilindros ou tubos (geralmente canos de PCV) de plástico ou papelão. Comumente transportado em gaiolas, geralmente cobertas, por barco ou veículo terrestre.",,"Psitacose, Salmonela, Campylobacter, Doença de Newcastle, Tuberculose aviária, Alveolite Alérgica, Vírus do Nilo ocidental, Gripe aviária, Mycobacterium, Aspergillus fumigatus."
22,fr,Dendrocygne siffleur,Les zones humides des basses terres du sous-continent indien et de l'Asie du Sud-Est,"Un canard de taille moyenne de couleur marron, tête marron avec un chapeau foncé. Cou brun uni et long. Un brun beaucoup plus clair est présent sur le bas de la queue. Cette espèce a de larges ailes, le bec est gris foncé, les yeux brunâtres, les pattes et les pieds sont gris foncé, la queue supérieure rougeâtre.",N'ACHETEZ PAS de dendrocygne siffleurs. La population de cette espèce est en déclin.,EXAMINER chaque cas pour vérifier s'il y a protection en vertu des lois nationales. Rendre compte aux autorités si nécessaire.,"Dendrocygne fauve, Dendrocygne tacheté, Dendrocygne des Antilles, Dendrocygne à lunules",Dendrocygne siffleur,Longueur ~41cm Poids ~550g Envergure de 70 à 74cm,Nécessite une bonne circulation d'air dans la boîte lors du transport. Éviter de manipuler inutilement.,Animaux vivants comme leurres vivants pour la chasse.,"Les oiseaux sont souvent vendus comme œufs ou comme animaux sédatés. Parfois dissimulés sur le corps du contrebandier dans des poches/pochettes spécialement conçues à cet effet. On les trouve également dans les valises, généralement emballées dans de petits cylindres/tuyaux en plastique ou en carton. Généralement transportés dans des cages, généralement couvertes, par bateau ou véhicule terrestre.",,"Psittacose, salmonellose, campylobactériose, maladie de Newcastle, tuberculose aviaire, alvéolite allergique, virus du Nil occidental, grippe aviaire, mycobactérie, Aspergillus Fumigatus."
27,pt,Coruja-das-torres,"Ocorre principalmente em áreas abertas, mas não completamente desprovidas de árvores, terras baixas, com algumas árvores, incluindo áreas cultivadas com cercas vivas, valas, lagoas e aterros/bancos, margens de estradas e outros terrenos acidentados, e plantações de coníferas jovens, também são encontradas perto de cidades, em subúrbios, vilas, ou em construções mais isoladas, adequadas para abrigo diurno e locais para nidificação e algumas vezes próximo de depósitos de resíduos.  Em latitudes mais baixas também ocorre em regiões áridas e semi-áridas com vegetação xerofítica, arbustos e subarbustos e comunidades de ervas, floresta de eucalipto decídua ou mista, savana de acácia, espinheiro, charnecas, pântanos abertos, lodaçais, plantações de palmeiras (Elaeis guineensis), áreas irrigadas, arrozais e campos de cana, e penhascos, costas rochosas em algumas regiões, notadamente em ilhas oceânicas continentais.","Cabeça e parte superior do corpo variam de coloração, mas em geral a testa e penas traseiras são marrom-claro e cinza-escuro, com uma face branca em forma de coração. A coruja-das-torres tem pintas pretas e brancas. As penas são em geral marrons claro com faixas mais escuras.",NÃO COMPRE Corujas-das-torres. O transporte e comércio internacional de corujas-das-torres são muito controlados. A maior parte dos países também controla estritamente o comércio e a posse. Em alguns países perturbar áreas de reprodução também é ilegal.,INVESTIGUE. Comércio internacional é estritamente controlado e licença CITES é necessária. Examine toda a documentação e  informe as autoridades.,"Coruja-vermelha-de-Madagascar, coruja de ouro de Sulawesi,  Coruja-da-baía-do-Congo",,Comprimento 30~40 cm Envergadura 80~90 cm  Peso ~800g (Fêmeas têm maiores em termos de tamanho),Evite manusear desnecessariamente. Um pessoa deve conter o animal. Mantenha em uma caixa de transporte sem poleiro,"Animais vivos, partes do corpo para medicina tradicional/magia.","Aves são comumente traficadas como ovos ou como animais sedados. Às vezes escondidas em bolsos feitos especialmente para esta finalidade, são envoltos ao corpo do contrabandista para o transporte. Também encontrados em malas, geralmente embalado firmemente em pequenos cilindros ou tubos (geralmente canos de PCV) de plástico ou papelão. Comumente transportado em gaiolas, geralmente cobertas, por barco ou veículo terrestre.",,"Vírus do Nilo ocidental, Gripe aviária, Mycobacterium, Aspergillus fumigatus."
27,fr,Effraie des clochers,"Elle se rencontre principalement dans les plaines ouvertes mais non dénudées d'arbres, avec quelques arbres, y compris les terres agricoles avec haies, fossés, étangs et berges, bords de routes et terrains plus accidentés. Elle se trouve aussi dans les jeunes plantations de conifères, mais aussi autour des villes, banlieues, villages ou bâtiments plus isolés qui conviennent aux perchoirs et nids de jour; elle est  présente aussi près des dépotoirs à déchets. Dans les latitudes plus basses, on la trouve également dans les régions semi-arides et certaines régions arides avec une végétation xérophyte, des communautés naines d'arbustes et d'herbes, des forêts d'eucalyptus à feuilles caduques ou mixtes, des savanes d'acacias, des épineux, des landes, des marais ouverts, des vasières, des palmeraies à huile (Elaeis guineensis), des plantations d'irrigation, des rizières et champs de canne, des rochers dans certaines zones, notamment les îles côtières du continent.","La tête et le haut du corps varient en coloration, mais sont habituellement brun clair et gris foncé sur le front et les plumes du dos avec un visage en forme de cœur blanc. La chouette des clochers a des taches noires et blanches. Les plumes sont généralement brun clair avec des bandes plus foncées.",N'ACHETEZ PAS d'effraie des clochers. Le commerce international ou le transport des effraies des clochers est très réglementé. La plupart des pays réglementent aussi strictement le commerce et la propriété des effraies des clochers. La perturbation des sites de reproduction de la chouette des clochers est également illégale dans certains pays.,ENQUÊTEZ. Le commerce international est très réglementé et nécessite un permis CITES. Examinez toute la documentation et faites rapport aux autorités.,"Effraie de Soumagne, Effraie de Minahassa, Phodile de Prigogine",,Longueur 30~40 cm Envergure 80~90 cm Poids ~800g (Les femelles sont de plus grande taille),Évitez de manipuler l'animal inutilement. Maintien par une seule personne. Placez l'animal dans une petite boîte/volière sans perchoir.,"Animaux vivants, parties du corps pour la médecine traditionnelle/magie.","Les oiseaux sont souvent vendus comme œufs ou comme animaux sédatés. Parfois dissimulés sur le corps du contrebandier dans des poches/pochettes spécialement conçues à cet effet. On les trouve également dans les valises, généralement emballées dans de petits cylindres/tuyaux en plastique ou en carton. Généralement transportés dans des cages, généralement couvertes, par bateau ou véhicule terrestre.",,"Virus du Nil occidental, grippe aviaire, mycobactérie, Aspergillus fumigatus."
32,pt,abutre-indiano-de-dorso-branco,"Ocorre principalmente nas planícies e com menos frequência nas regiões montanhosas, onde utiliza florestas, aldeias, cidades e áreas abertas.","Abutre escuro de tamanho médio. O adulto tem plumagem preta, penas brancas na região do colar (pescoço), uropígio e coberteiras inferiores das asas, painel prateado na parte superior das secundárias, cabeça e pescoço escuros, e bico bastante curto, pesado e primariamente prateado.  O juvenil é marrom escuro com races brancas proeminentes especialmente na parte inferior. Branco na cabeça e no pescoço e geralmente uma mancha marrom na nuca. Sub-adulto castanho claro.","NÃO COMPRE Abutres-indianos-de-dorso-branco, suas partes ou produtos deles derivados. O comércio e transporte internacionais são muito restritos. Esta espécie está classificada como criticamente em perigo. E está passando por uma mortalidade em massa extrema, devida a um vírus letal contraído pelo consumo de gado morto no qual foi injetada a droga Diclofenac.",INVESTIGUE. Comércio internacional é estritamente controlado e licença CITES é necessária. Examine toda a documentação e  informe as autoridades.,"Abutre-do-cabo, grifo-de-Rüppell, abutre-de-bico-estreito",Abutre-indiano-de-dorso-branco,Comprimento 75-85 cm,"Evite manusear desnecessariamente. Use luvas e máscara. A melhor forma de capturar um abutre alerta é cobri-lo com uma jaqueta, casaco ou cobertor. Se possível, use luvas grossas. Recolha o cobertor e a ave juntos, mantendo-o longe de todas as partes expostas do seu corpo. Caixas de papelão funcionam bem para o transporte.",,"Aves são comumente traficadas como ovos ou como animais sedados. Às vezes escondidas em bolsos feitos especialmente para esta finalidade, são envoltos ao corpo do contrabandista para o transporte. Também encontrados em malas, geralmente embalado firmemente em pequenos cilindros ou tubos (geralmente canos de PCV) de plástico ou papelão. Comumente transportado em gaiolas, geralmente cobertas, por barco ou veículo terrestre.",,"Vírus do Nilo ocidental,Gripe aviária,Mycobacterium,Aspergillus fumigatus"
32,fr,Vautour chaugoun,"Il se rencontre surtout dans les plaines et moins fréquemment dans les régions vallonnées où il utilise des boisés légers, des villages, des villes et des espaces ouverts.","Vautour de taille moyenne, vautour foncé. Le plumage de l'adulte est noirâtre, le collet blanc, la croupe et le dessous de l'aile sont recouverts d'un manteau blanc, le dessus des secondaires est argenté, la tête et le cou sont foncés et le bec est plutôt court, lourd et surtout argenté. Juvéniles brun foncé avec des stries blanches proéminentes sur la tige, surtout en dessous. Duvet blanc sur la tête et le cou et habituellement une tache brunâtre sur la nuque.Draineursubadulte marron.","N'ACHETEZ PAS de vautours chaugoun, leurs parties ou produits dérivés. Le commerce ou le transport international des vautours à croupion blanc est très restreint. Cette espèce est classée en danger critique d'extinction et connaît une mortalité extrêmement massive, due à un virus mortel contracté par la consommation de bovins morts, qui ont été injectés avec le médicament Diclofénac.",ENQUÊTEZ. Le commerce international est très réglementé et nécessite un permis CITES. Examinez toute la documentation et faites rapport aux autorités.,"Vautour chassefiente, Vautour de Rüppell, Vautour à long bec",,Longueur 75-85 cm,"Évitez de manipuler l'animal inutilement. Portez des gants et un masque. La meilleure façon de capturer un vautour en alerte est de le couvrir complètement avec une veste, un manteau ou une couverture. Si possible, portez des gants lourds. Rassemblez la couverture et l'oiseau, ensemble, en l'éloignant de toutes les parties exposées de votre corps. Les boîtes en carton fonctionnent bien pour le transport.",,"Les oiseaux sont souvent vendus comme œufs ou comme animaux sédatés. Parfois dissimulés sur le corps du contrebandier dans des poches/pochettes spécialement conçues à cet effet. On les trouve également dans les valises, généralement emballées dans de petits cylindres/tuyaux en plastique ou en carton. Généralement transportés dans des cages, généralement couvertes, par bateau ou véhicule terrestre.",,"Virus du Nil occidental, grippe aviaire, mycobactérie, Aspergillus fumigatus."
