19,2,0,Bird,Rufous-necked Hornbill,Aceros nipalensis,APP I,,"South East Asia, Bhutan, China, India",VU,,Subtropical evergreen and deciduous forests,"Large hornbill with distinctive rufous head and underparts. Males are black above with white-tipped outer primaries, white tail with black basal half, pale yellowish bill with row of vertical dark ridges on upper mandible and almost no casque, blue orbital skin and red gular skin. Female has black head, neck and underparts and slightly duller orbital skin. Juvenile is like male but bill smaller without dark ridges, tail feathers may be narrowly dark-tipped. Makes loud barking kup or kok notes.","DO NOT BUY the Red Neck Creek. The species is considered vulnerable as it is heavily exploited due to its flesh and horn. International trade in this species is illegal. When the large puff is not present, the horn is used in ceremonial hairstyles, while tail feathers are sometimes sought for cultural reasons and some communities use body fat for medical value.","INVESTIGATE. No legal international trade in live specimens, their parts and products is permitted. Any papers purporting to allow such trade are false or unlawful. National protections may also apply. Examine each case for further investigative leads.","Visayan Wrinkled Hornbill, Plain-puched Hornbill, and Papuan Hornbill","Rufous-cheeked Hornbill, Rufous-necked Hornbill",Length ~120cm,"Do not remove from cage/enclosure until an experienced handler is present. Provide water. If in a net, grasp the bill at all times to prevent serious injury to the face, eyes or fingers. Plastic crates are easy to clean and disinfect and may be more resistant than wooden craters to bill \shaving\ activities. Large slits or other openings should be covered with mesh so that the hornbills cannot manipulate the crate or bite. Risk of damage to the casque may be avoided by taping the casque and padding it with cardboard. Taping of the long tail with gummed paper might also prevent feather abrasion and breakage. A short length of knotted rope attached to the aviary roof above a favorite perch can be used by the hornbills to clean the inside of their bills. A hornbill should have sufficient time to become used to the crate before transport. If transport is longer than a couple of hours water and food should be provided in the crate. The enclosure should be large enough to allow the hornbill to comfortably extend its wings fully.","Live animals in pet trade, meat as food, casques and tail feathers as hats and souvenirs.","Hornbill's casques are more commonly smuggled than the bird itself. Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Commonly transported in cages, usually covered, by boat or land vehicle.",,"animal,feathers,red,medium,beak,wings,tail,brown,orange,black,yellow,white",,"Avian Influenza, Chlamydiosis, Histoplasmosis, Newcastle Disease, Salmonellosis, West Nile Virus.",Medium,1,6/14/2013 1:09,4,3/29/2016 4:44
20,2,0,Bird,Philippine Cockatoo,Cacatua haematuropygia,APP I,,Philippines,CR,,"Forest, river or coastal areas, mangroves. It breeds between January and July, and outside the breeding season it frequents both corn and rice fields. Birds fly from the mainland to offshore islands as far as 8 km away from the mainland to roost and breed.","Small white cockatoo with red and yellow beneath tail. Adults have short erectile crest, pinkish-washed ear-coverts and lores, red undertail-coverts tipped and shafted white and a deep yellow suffusion beneath wings and tail. Male has black-brown iris, female has red-tinted iris. Juvenile initially has greyer iris, later brownish. Voice loud, harsh croaking or rasping call with two syllables.","DO NOT BUY Philippine Cockatoos. This bird is considered critically endangered. This long-lived species has declined extremely rapidly owing to extensive deforestation within its range, but also as a result of the high prices the birds fetch in trade","INVESTIGATE. No legal international trade in live specimens, their parts and products is permitted. Any papers purporting to allow such trade are false or unlawful. National protections may also apply. Examine each case for further investigative leads.","Umbrella Cockatoo, Salmon-crested Cockatoo, Goffin's Cockatoo",Red-vented Cockatoo,Length ~30cm  Weight ~300g,Avoid handling unnecessarily. Wear gloves and a mask. CAUTION: Never give a cockatoo avocado or chocolate - it can result in the death of the bird. The bird needs a well ventilated box to avoid injury.,Live animals in pet trade.,"Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.",,"animal,feathers,white,small,beak,wing,tail,red,yellow",,"Psittacosis, Salmonella, Campylobacter, Newcastle disease, Avian TB, Allergic Alveolitis, West Nile virus, Avian Influenza, Mycobacterium, Aspergillus Fumigatus.",Medium,1,6/14/2013 1:26,4,3/29/2016 4:34
22,2,0,Bird,Lesser Whistling Duck,Dendrocygna javanica,None,,"South Asia, South East Asia, China",LC,Nocturnal,Lowland wetlands across the Indian Sub-continent and Southeast Asia,"A medium size duck chestnut brown in color, brown head with dark cap. Plain and long brown neck. A much lighter brown is present on the lower tail. This species has broad wings, the bill is dark gray, brownish eyes, legs and feet are dark gray, reddish upper tail. The ring around the eye is orange to yellow.",DO NOT BUY lesser Whistling Ducks. This species population is declining.,EXAMINE each case to check for protection under national laws. Report to authorities if necessary.,"Fulvous Whistling Duck, Spotted Whistling Duck, West-Indian Whistling Duck, and Wandering Whistling Duck","Lesser Whistling-duck, Lesser Whistling-Duck, Indian Whistling Duck or Lesser Whistling Teal",Length ~41cm Weight ~550g Wingspan of 70 to 74cm,Need good air flow in box when transporting. Avoid handling unnecessarily.,Live animals as live decoy for hunting.,"Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes.",,"animal,feathers,brown,small,beak,wings,tail,orange,black",,"Psittacosis, Salmonella, Campylobacter, Newcastle disease, Avian TB, Allergic Alveolitis, West Nile virus, avian influenza, Mycobacterium, Aspergillus fumigatus.",medium,1,6/14/2013 1:46,4,3/29/2016 4:12
27,1,0,Bird,Barn Owl,Tyto alba,APP II,,Temperate ecosystems across the world,LC,Nocturnal,"It mainly occurs in open but not treeless, lowlands, with some trees, including farmland with hedges, ditches, ponds and banks, roadside verges and related rougher terrain, and young conifer plantations, it is also around towns, suburbs, villages or more isolated buildings suitable for daytime roosts and nest-sites and sometimes near refuse dumps. In lower latitudes it is also found in semi-arid and some arid regions with xerophytic vegetation, dwarf shrub and herb communities, deciduous or mixed eucalypt woodland, Acacia savanna, thornbush, heathland, open marshes, mudflats, oil palm (Elaeis guineensis) plantations, irrigation areas, rice paddies and cane fields, and cliffs and rocky coasts in some regions, notably on continental offshore islands.","The head and upper body varies in coloration, but is usually light brown and dark gray on the forehead and back feathers with a white heart-shaped face. The barn owl has black and white speckles. The feathers are usually light brown with darker bands.",DO NOT BUY Barn Owls. International trade or transport of Barn Owls is highly regulated. Most countries also strictly regulate Barn Owl trade and ownership. Disturbance of Barn Owl breeding sites is also illegal in certain countries.,INVESTIGATE. International trade is highly regulated and requires a CITES permit. Examine all documentation and report to authorities.,"Madagascar Red Owl, Sulawesi Golden Owl, Congo Bay Owl",,Length 30~40 cm Wingspan 80~90 cm  Weight ~800g (Females are larger in size),Avoid handling animal unnecessarily. Restrain by one person. Box in a small sky kennel with no perch.,"Live animals, body parts for traditional medicine/magic.","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.",,"animal,feathers,brown,small,beak,wings,tail,white",,"West Nile virus, Avian Influenza, Mycobacterium, Aspergillus fumigatus.",Medium,1,6/14/2013 9:57,4,3/28/2016 5:44
32,1,1,Bird,White-rumped Vulture,Gyps bengalensis,APP II,,"South Asia, South East Asia, China, Russia",CR,Dangerous,"It occurs mostly in plains and less frequently in hilly regions where it utilises light woodland, villages, cities, and open areas.","Medium-sized, dark vulture. Adult has blackish plumage, white neck-ruff, rump and underwing-coverts, silvery panel on upper surface of secondaries, dark head and neck, and rather short, heavy, mostly silver bill. Juvenile dark brown with prominent white shaft-streaks, especially below. White down on head and neck and usually a brownish nape- patch. Subadult drabber brown.","DO NOT BUY White-rumped Vultures, their parts or derivative products. International trade or transport of White-rumped Vultures is highly restricted. This species is classified as critically endangered and is experiencing an extremely massive die-off, due to a lethal virus contracted by the consumption of dead cattle, which have been injected with the drug Diclofenac.",INVESTIGATE. International trade is highly regulated and requires a CITES permit. Examine all documentation and report to authorities.,"Cap vulture, Ruepell's Griffon, Slender-billed Vulture",White-rumped Vulture,Length 75-85 cm,"Avoid handling animal unnecessarily. Wear gloves and a mask. The best way to capture an alert vulture is to completely cover it with a jacket, coat or blanket. If possible wear heavy gloves. Gather up blanket and bird together, keeping it away from all exposed parts of your body. Cardboard boxes work well for transport.",,"Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.",,"animal,feathers,black,medium,beak,wings,tail,white",,"West Nile virus,avian influenza,Mycobacterium,Aspergillus fumigatus",Medium,1,6/16/2013 21:49,1,11/17/2015 11:16
33,1,1,Bird,White-tailed Eagle,Haliaeetus albicilla,APP I,,"Asia, Europe, United States of America",LC,Dangerous,Uses large trees or cliffs for nesting. Typically found in large exspanses of land throughout its range.,"A large eagle with broad wings, large head and yellow beak. The feathers of the body are a mottled brown and the tail is a very distinct white, giving this species its common name. The talons are bright yellow.","DO NOT BUY. White-tailed Eagles, their parts or derivative products. This species is protected by international and many European national laws. Report trade to trusted authorities.","INVESTIGATE. No legal international trade in live specimens, their parts and products is permitted. Any papers purporting to allow such trade are false or unlawful. National protections may also apply. Examine each case for further investigative leads.","Steller's sea eagle, Madagascar fish-eagle, African Fish-eagle","Grey Sea Eagle, Sea Eagle, Erne, Ern, and White-tailed Sea-eagle","Length ~95cm,  Weight ~4.5kg Females, typically weighing 4-6.9 kg, are slightly larger than males, which weigh 3.1-5.4 kg, Wingspan ~245cm","Avoid handling animal unnecessarily. This is a very powerful, aggressive bird which requires similar caution to the Eastern Imperial eagle with the addition that it is more powerful, has wider placed feet requiring a longer gauntlet and its beak is capable of inflicting serious injury. 2 people to restrain the bird in a manner similar to the Eastern Imperial eagle, vital that the head is covered and that the handlers face remains clear of the beak and that hands and unprotected areas remain clear of the talons. The bird can be boxed in an appropriately sized box with ventilation and kept in the dark to prevent it becoming stressed and damaging itself in the crate.","Live animals, body parts for traditional medicine/magic,  rendered as oil used by fishermen.","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.",,"animal,feathers,brown,medium,beak,wings,tail,white",,"West Nile virus,avian influenza,Mycobacterium,Aspergillus fumigatus.",Medium,1,6/16/2013 22:01,1,11/17/2015 11:19
37,2,0,Bird,Blue-crowned Hanging Parrot,Loriculus galgulus,APP II,,South East Asia,LC,Disease risk,"Commonly found around forest edge, forest, riverine growth areas, mangrove, secondary growth, lightly wooded areas, bamboo clumps, orchards, rural areas and coconut groves.","This small parrot roosts upside down, giving it its name. Males have green plumage with a dark blue patch on their head. An orange/yellow wash on mantle with a red rump and red upper tail coverts. Yellow band across lower back with a red patch on the throat. Black bill and brown eyes. Females have much less blue on the crown with orange and yellow on mantle. Females lack the red throat patch and the yellow band on their lower back. As adults, females have a grey forehead washed with blue; blue on crown and orange/yellow on mantle absent; green rump with feathers margined red. The bill is yellow and brown.",DO NOT BUY Blue-crowned Hanging Parrots. This species is heavily exploited for the pet trade.,INVESTIGATE. International trade is highly regulated and requires a CITES permit. Examine all documentation and report to authorities.,,,Length ~12cm Weight ~25g,Avoid handling animal unnecessarily. Needs a small box to avoid injury. Wear gloves and a mask.,Live animals for pet trade.,"Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.",,"animal,feathers,green,tiny,beak,wings,tail,blue,orange,yellow,red",,"Psittacosis, Salmonella, Campylobacter, Newcastle disease, Avian TB, Allergic Alveolitis, West Nile virus, Avian Influenza, Mycobacterium, Aspergillus fumigatus.",Medium,1,6/17/2013 0:10,4,3/28/2016 5:56
43,2,0,Bird,Philippine Eagle,Pithecophaga jefferyi,APP I,,Philippines,CR,Dangerous,Small patches of forests in the Phillipines.,"The world's largest eagle with white belly and under-wing. The upper parts of the body are brown. The very long feathers around the nape form a distinctive, circular crest.","DO NOT BUY Philippine Eagles, their parts or derivative products. This species is considered critically endangered and all international trade is illegal. National protection also applies.","INVESTIGATE. No legal international trade in live specimens, their parts and products is permitted. Any papers purporting to allow such trade are false or unlawful. National protections may also apply. Examine each case for further investigative leads.","Semi-collared Hawk, Rufous-bellied eagle, Black-breasted buzzard","Great Philippine Eagle, Monkey-eating Eagle, Philippine Eagle",Length ~90cm  Weight ~6.5kg Wingspan ~200cm,"Avoid handling animal unnecessarily. A very large, very powerful raptor. Very thick, at least triple-skinned gauntlet required and preferably at least elbow length. As per the other eagles, all caution must be implemented to avoid the talons inflicting injury; the beak is also very powerful. Head must be covered, wings held firmly in by one person as another takes full control of the legs and feet. When carrying the bird, care must be taken to avoid the talons reaching the handlers legs, hence one person is solely responsible for talons. The box needs to be tall and can be perched for this species to take into account its long tail. 1.5 meter high box, minimum 1 meter wide. Perch at approx. 60cm from base. Allow to sit in dark, calm environment. Category 1 bird.","Live animals, body parts for traditional medicine/magic, rendered as oil used by fishermen.","Birds are commonly trafficked as eggs or as sedated animals. Sometimes concealed on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.",,"animal,feathers,brown,medium,beak,wings,tail,white",,"West Nile Virus, Avian Influenza, Mycobacterium, Aspergillus Fumigatus.",Medium,1,6/17/2013 1:58,4,3/29/2016 4:36
47,2,0,Bird,Straw-headed Bulbul,Pycnonotus zeylanicus,APP II,,"Indonesia, Malaysia, Brunei Darussalam",CR,,"Subtropical or tropical moist lowland forests, subtropical or tropical mangrove forests, subtropical or tropical moist shrubland, arable land, plantations, and rural gardens.","A small songbird with distinct yellow plumage on its crown with prominent black stripes that run from the nostrils back through the birds red eyes. The rest of the body is usually brown and dull. Large bulbul with golden-yellowish crown and cheeks. Blackish eye and sub moustachio stripes, white throat and fine, whitish streaks on upper parts and breast.",DO NOT BUY Straw-headed Bulbuls. International trade or transport of Straw-headed Bulbuls is highly regulated. Some nations (Thailand) have protection in place for this species. This bird has been heavily targeted due to its singing ability. Report trade to trusted authorities.,INVESTIGATE. International trade is highly regulated and requires a CITES permit. Examine all documentation and report to authorities.,"Taiwan Bulbul, Yellow-throated Bulbul, and Red-vented Bulbul","Straw-crowned Bulbul, Straw-headed Bulbul",Length ~30cm  Weight ~90g,Avoid handling animal unnecessarily. Always wear gloves and a mask when handling birds.,Live animal for song bird and pet trade.,"Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.",,"animal,feathers,yellow,small,beak,wings,tail,black,brown",,"Avian Influenza,Chlamydiosis,Histoplasmosis,Newcastle Disease,Salmonellosis,West Nile Virus",Medium,1,6/17/2013 2:31,4,3/29/2016 5:03
54,1,0,Mammal,Leopard,Panthera pardus,APP I,,"Africa, eastern and southern Asia",VU,"Dangerous,Nocturnal","Humid rain forests, semi-arid desert, savannas, coniferous forests, subtropical deciduous forests, grasslands, woodlands, largely undisturbed riverine forests, tropical rain forests, densely forested areas, temperate forests","Light tan base colored coat, black rosette pattern, lighter colored underside, melanistic or entirely black marking visible when closely examined. Many animals in trade are captive raised hybrids of multiple subspecies. The shade of their base coat depends on their geographic location.","DO NOT BUY Leopard, their parts or derivative products. International trade or transport of leopards, their parts and derived products is illegal. Most countries also strictly regulate leopard trade and ownership. Leopards are dangerous, costly and difficult to keep. They do not make appropriate pets. Leopard derived medicines have no proven medicinal benefits. Disreputable Leopard tourism operators have been linked to the trafficking, abuse and killing of Leopard. Do not support operators that fail to be transparent about the source of their animals. Several thousand leopards are all that remain in the wild across the world. Report trade to trusted authorities.","INVESTIGATE. No legal international trade in live specimens, their parts and products is permitted. Any papers purporting to allow such trade are false or unlawful. National protections may also apply. Examine each case for further investigative leads.","Jaguar, Cheetah, Clouded Leopard",,"(adult)  Length ~3m (head to tail tip) Weight: 40-90kg
Female Leopards are 20 - 40% smaller","Avoid handling animal unnecessarily. Request expert veterinary assistance. Biting and scratch risk, caution should always be used to avoid injury. Animal should be under mild sedative for safety, contain and do not approach until veterinarians or expert handlers arrive.","Trophies, Fur coat, Skin, and bones (sold as substitutes for Tiger bones) for food trade and traditional medicines.","Pelts transported by vehicles, trains, boat and pack animals. Carcases (often frozen) in vehicles. Sedated cubs transported in luggage by air and vehicles.",,"animal,fur,yellow,large,tail,black,white",,"Campylobacter, Cat Scratch disease, Cryptosporidiosis, Hook worm, Leptospirosis, Yersinia pestis (Plague), Q fever, Rabies, Ringworm infection, Roundworm, Salmonella, tapeworms, Toxoplasmosis",low,1,6/17/2013 19:48,4,3/29/2016 4:11
