"id","region","is_global","type","common_name","scientific_name","cites","cites_other","extant_countries","status","warnings","habitat","basic_id_cues","consumer_advice","enforcement_advice","similar_animals","known_as","average_size_weight","first_responder","traded_as","common_trafficking","notes","keywords_tags","reference","disease_name","disease_risk_level","created_by","created_date","updated_by","updated_date"
"19","4","0","Bird","Rufous-necked Hornbill","Aceros nipalensis","Appendix I","","Bhutan, China, India","EN","","Dense tropical and subtropical forest mature broadleaved forests, generally between 600-1,800 m (maximum altitude 2,200 m).","A hornbill with the head and neck colored rufous (reddish-brown). The yellow striped bill curves downward and the casque is box-like. The wings and back of the males are black. The eyes are surrounded by a ring of blue skin. Males have a rufous head and underparts with black back and wings, whereas females are dark brown to black all over. ","DO NOT BUY Rufous-necked Hornbills. The species is considered vulnerable because it is highly exploited for its meat and casque. International trade of this species is illegal.","INVESTIGATE. No legal international trade in Rufous-necked Hornbill or their parts is permitted. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Examine each case for further investigative leads.","Visayan Wrinkled Hornbill, Plain-puched Hornbill, and Papuan Hornbill","Rufous-cheeked Hornbill, Rufous-necked Hornbill","Length around 120 cm.","Do not remove from cage or enclosure until an experienced handler is present. Provide water. If in a net, grasp the bill at all times to prevent serious injury to your face, eyes or fingers. Plastic crates are easy to clean and disinfect, and may be more resistant than wooden craters to bill ""shaving"" activities. Large slits or other openings should be covered with mesh so that the hornbills cannot manipulate the crate or bite. Risk of damage to the casque may be avoided by taping the casque and padding it with cardboard. Taping of the long tail with gummed paper might also prevent feather abrasion and breakage. A short length of knotted rope attached to the aviary roof above a favorite perch can be used by the hornbills to clean the inside of their bills. A hornbill should have sufficient time to become used to the crate before transport. If transport is longer than a couple of hours, water and food should be provided in the crate. The enclosure should be large enough to allow the hornbill to comfortably extend its wings fully.","Live animals in pet trade, meat as food, casques and tail feathers as hats and souvenirs ","Hornbill's casques are more commonly smuggled than the bird itself. Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets or pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders or pipes. Commonly transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,brown,red,medium,wings,orange,black,yellow,white","","Avian Influenza, Chlamydiosis, Histoplasmosis, Newcastle Disease, Salmonellosis, West Nile Virus. ","Medium","1","2013-06-14 01:09:16","4","2016-03-29 04:44:20"
"20","4","0","Bird","Philippine Cockatoo","Cacatua haematuropygia","Appendix I","","","CR","","Mainly found in lowland and mangrove forests, but can also be found in corn fields and at high elevations.","A large parrot with creamy white plumage. The crest can vary in color from yellowish to pink. Underneath the tail the bird has contrasting feathers which range from red to orange. The bill is grayish-white and the eyes are brown.","DO NOT BUY Philippine Cockatoos. This bird is considered critically endangered.","INVESTIGATE. No legal international trade in Philippine Cockatoos is permitted. Any papers purporting to allow such trade are false or unlawful. Examine each case for further investigative leads.","Umbrella Cockatoo, Salmon-crested Cockatoo, Goffin's Cockatoo","Red-vented Cockatoo","Length ~30cm  Weight ~300g","Avoid handling unnecessarily. Wear gloves and a mask. CAUTION: Never give a parrot avocado or chocolate - it can result in the death of the bird. The bird needs a well ventilated box to avoid injury. ","Harvested extensively for the pet trade.","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,white,small,wings,red,yellow,tail,beak","","Psittacosis, Salmonella, Campylobacter, Newcastle disease, Avian TB, Allergic Alveolitis, West Nile virus, Avian Influenza, Mycobacterium, Aspergillus Fumigatus.","Medium","1","2013-06-14 01:26:47","4","2016-03-29 04:34:56"
"22","4","0","Bird","Lesser Whistling Duck","Dendrocygna javanica","","","Bangladesh, Bhutan, China, India, Nepal, Pakistan, Sri Lanka","LC","Nocturnal","Lowland wetlands across the Indian Sub-continent","A medium size duck brown in color, brown head with dark cap. Plain and long brown neck. A much lighter brown is present on the. This species has broad wings, the bill is dark gray, brownish eyes, legs and feet are dark gray, reddish upper tail.","DO NOT BUY lesser Whistling Ducks. This species population is declining.","INVESTIGATE. Examine each case for further investigative leads.","Fulvous Whistling Duck, Spotted Whistling Duck, West-Indian Whistling Duck, and Wandering Whistling Duck","Lesser Whistling-duck, Lesser Whistling-Duck, Indian Whistling Duck or Lesser Whistling Teal","◾Length ~410mm ◾Weight ~550g ◾Wingspan of 70 to 74cm","Need good air flow in box when transporting. Avoid handling unnecessarily.","live animals as live decoy for hunting","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transpor","","animal,feathers,2legs,brown,small,wings,orange,black,beak,tail","","","","1","2013-06-14 01:46:46","4","2016-03-29 04:12:49"
"27","2","0","Bird","Barn Owl","Tyto alba","Appendix II","","Temperate ecosystems across the world","LC","Nocturnal","Farmlands, swamps, forests, large gardens throughout the birds extensive range.","The head and upper body varies in coloration, but is usually light brown and dark gray on the forehead and back feathers with a white heart-shaped face. The barn owl has black and white speckles. The feathers are usually light brown with darker bands.","DO NOT BUY Barn Owls. International trade or transport of Barn Owls is highly regulated. Most countries also strictly regulate Barn Owl trade and ownership. Disturbance of Barn Owl breeding sites is also illegal in certain countries.","INVESTIGATE. The international trade in Barn Owls is heavily regulated and requires a CITES permit. Ensure all documents are genuine and examine for further investigative leads. Report to authorities. ","Madagascar Red Owl, Sulawesi Golden Owl, Congo Bay Owl","","Length 30~40 cm, Wingspan 80~90 cm  Weight ~800g (Females are larger in size) ","Avoid handling animal unnecessarily. Restrain by one person. Box in a small sky kennel with no perch. ","Live animals, body parts for traditional medicine/magic.","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,white,medium,wings,small,brown,light-brown,orange,yellow,tail","","West Nile virus, Avian Influenza, Mycobacterium, Aspergillus fumigatus.","Medium","1","2013-06-14 09:57:50","4","2016-03-28 05:44:12"
"32","2","1","Bird","White-rumped Vulture ","Gyps bengalensis","Appendix II","",",India","CR","","Often inhabits areas near civilization or open areas and cultivated fields. ","A medium-sized vulture with a black, bald head and neck, which is a characteristic shared by most vultures. Its wings are black, while the rest of the animal is colored white, with the exception of the bill, which is silver. In addition, it has blunt talons.","DO NOT BUY White-rumped Vultures, their parts or derivative products. International trade or transport of White-rumped Vultures is highly restricted. This species is classified as critically endangered and is experiencing an extremely massive die-off, due to a lethal virus contracted by the consumption of dead cattle, which have been injected with the drug Diclofenac .","INVESTIGATE. The international trade is strictly regulated. Seek expert identification assistance for cases involving this species. Examine each case for further investigative leads.","Cap vulture, Ruepell's Griffon, Slender-billed Vulture","White-rumped Vulture","Length = 75-85 cm","Avoid handling animal unnecessarily. Wear gloves and a mask. The best way to capture an alert vulture is to completely cover it with a jacket, coat or blanket. If possible wear heavy gloves. Gather up blanket and bird together, keeping it away from all exposed parts of your body. Cardboard boxes work well for transport.","n/a","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,brown,small,medium,wings,white,black,tail,beak",""," West Nile virus,avian influenza,Mycobacterium,Aspergillus fumigatus","Medium","1","2013-06-16 21:49:35","1","2015-11-17 11:16:20"
"33","2","1","Bird","White-tailed Eagle","Haliaeetus albicilla","Appendix I","",",,Afghanistan,Albania,Armenia (Armenia),Austria,Azerbaijan,Belarus,Bosnia and Herzegovina,Bulgaria,China,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Greenland,Hungary,Iceland,India,Iran,Iraq,Israe","LC","","Uses large trees or cliffs for nesting. Typically found in large exspanses of land throughout its range.","A large eagle with broad wings, large head and yellow beak. The feathers of the body are a mottled brown and the tail is a very distinct white, giving this species its common name. The talons are bright yellow.","DO NOT BUY. White-tailed Eagles, their parts or derivative products. This species is protected by international and many European national laws.. Report trade to trusted authorities.","INVESTIGATE. No legal international trade in White-tailed Eagle is permitted. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Examine each case for further investigative leads.","Steller's sea eagle, Madagascar fish-eagle, African Fish-eagle","Grey Sea Eagle, Sea Eagle, Erne, Ern, and White-tailed Sea-eagle","Length ~95cm  Weight ~4.5kg Females, typically weighing 4–6.9 kg, are slightly larger than males, which weigh 3.1–5.4 kg Wingspan ~245cm","Avoid handling animal unnecessarily. This is a very powerful, aggressive bird which requires similar caution to the Eastern Imperial eagle with the addition that it is more powerful, has wider placed feet requiring a longer gauntlet and its beak is capable of inflicting serious injury. 2 people to restrain the bird in a manner similar to the Eastern Imperial eagle, vital that the head is covered and that the handlers face remains clear of the beak and that hands and unprotected areas remain clear of the talons. The bird can be boxed in an appropriately sized box with ventilation and kept in the dark to prevent it becoming stressed and damaging itself in the crate.
","Live animals, body parts for traditional medicine/magic,  rendered as oil used by fishermen ","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","Females, typically weigh up to 6.9 kg, are slightly larger than males.","animal,feathers,2legs,brown,white,medium,wings,yellow,beak,tail,",""," West Nile virus,avian influenza,Mycobacterium,Aspergillus fumigatus.","Medium","1","2013-06-16 22:01:25","1","2015-11-17 11:19:04"
"37","4","0","Bird","Blue-crowned Hanging Parrot","Loriculus galgulus","Appendix II","","Brunei Darussalam","LC","Disease risk","Commonly found around forest edge, forest, riverine growth areas, mangrove, secondary growth, lightly wooded areas, bamboo clumps, orchards, rural areas and coconut groves.","This small parrot roosts upside down, giving it its name. Males have green plumage with a dark blue patch on their head. An orange/yellow wash on mantle with a red rump and red upper tail coverts. Yellow band across lower back with a red patch on the throat. Black bill and brown eyes. Females have much less blue on the crown with orange and yellow on mantle. Females lack the red throat patch and the yellow band on their lower back. As adults, females have a grey forehead washed with blue; blue on crown and orange/yellow on mantle absent; green rump with feathers margined red. The bill is yellow and brown.","DO NOT BUY Blue-crowned Hanging Parrots. This species is heavily exploited for the pet trade.","INVESTIGATE. The international trade of this species is regulated. Ensure all paper work is genuine. Report to trusted authorities. ","","","Length ~12cm Weight ~25g","Avoid handling animal unnecessarily. Needs a small box to avoid injury. Wear gloves and a mask.","For the pet trade.","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,green,tiny,wings,tail,red,yellow,blue,beak","","Psittacosis, Salmonella, Campylobacter, Newcastle disease, Avian TB, Allergic Alveolitis, West Nile virus, Avian Influenza, Mycobacterium, Aspergillus fumigatus.","Medium","1","2013-06-17 00:10:02","4","2016-03-28 05:56:43"
"43","4","0","Bird","Philippine Eagle","Pithecophaga jefferyi","Appendix I","","","CR","","Small patches of forests (dipterocarp) in the Phillipines. ","The world's largest eagle with white belly and under-wing. The upper parts of the body are brown. The very long feathers around the nape form a distinctive, circular crest.","DO NOT BUY Philippine Eagles, their parts or derivative products. This species is considered critically endangered and all international trade is illegal. National protection also applies.","INVESTIGATE. No legal international trade in Philippine Eagle is permitted. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Examine each case for further investigative leads.","Semi-collared Hawk, Black-breasted Buzzard, and Rufous-bellied Eagle","Great Philippine Eagle, Monkey-eating Eagle, Philippine Eagle","Length ~90cm  Weight ~6.5kg Wingspan ~200cm","Avoid handling animal unnecessarily. A very large, very powerful raptor. Very thick, at least triple-skinned gauntlet required and preferably at least elbow length. As per the other eagles, all caution must be implemented to avoid the talons inflicting injury; the beak is also very powerful. Head must be covered, wings held firmly in by one person as another takes full control of the legs and feet. When carrying the bird, care must be taken to avoid the talons reaching the handlers legs, hence one person is solely responsible for talons. The box needs to be tall and can be perched for this species to take into account its long tail. 1.5 meter high box, minimum 1 meter wide. Perch at approx. 60cm from base. Allow to sit in dark, calm environment. Category 1 bird. ","Live animals, body parts for traditional medicine/magic, rendered as oil used by fishermen. ","Birds are commonly trafficked as eggs or as sedated animals. Sometimes concealed on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,white,brown,medium,wings,tail","","West Nile Virus, Avian Influenza, Mycobacterium, Aspergillus Fumigatus.","Medium","1","2013-06-17 01:58:47","4","2016-03-29 04:36:05"
"47","4","0","Bird","Straw-headed Bulbul","Pycnonotus zeylanicus","Appendix II","","Brunei Darussalam","VU","","Subtropical or tropical moist lowland forests, subtropical or tropical mangrove forests, subtropical or tropical moist shrubland, arable land, plantations, and rural gardens.","A small songbird with distinct yellow plumage on its crown with prominent black stripes that run from the nostrils back through the birds red eyes. The rest of the body is usually brown and dull. Large bulbul with golden-yellowish crown and cheeks. Blackish eye and sub moustachio stripes, white throat and fine, whitish streaks on upper parts and breast.","DO NOT BUY Straw-headed Bulbuls. International trade or transport of Straw-headed Bulbuls is highly regulated. Some nations (Thailand) have protection in place for this species. This bird has been heavily targeted due to its singing ability. Report trade to trusted authorities.","INVESTIGATE.  International trade is highly regulated. Examine all documents thoroughly and seek expert advice if necessary. National protections may also apply. Examine each case for further investigative leads.","Taiwan Bulbul, Yellow-throated Bulbul, and Red-vented Bulbul","Straw-crowned Bulbul, Straw-headed Bulbul","Length ~30cm  Weight ~90g","Avoid handling animal unnecessarily. Always wear gloves and a mask when handling birds. 
","Live animal for song bird and pet trade. ","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,yellow,small,wings,beak,tail,brown,black","","Avian Influenza,Chlamydiosis,Histoplasmosis,Newcastle Disease,Salmonellosis,West Nile Virus ","Medium","1","2013-06-17 02:31:57","4","2016-03-29 05:03:15"
"54","1","0","Mammal","Leopard Species","Panthera pardus ","Appendix I","","Africa, Asia","NT","Dangerous,Nocturnal","Hhumid rain forests, semi-arid desert, savannahs, coniferous forests, subtropical deciduous forests, grasslands, woodlands, largely undisturbed riverine forests, tropical rain forests, densely forested areas, temperate forests","Light tan base colored coat, black rosette pattern, lighter colored underside, melanistic or entirely black marking visible when closely examined. Many animals in trade are captive raised hybrids of multiple subspecies. The shade of their base coat depends on their geographic location. ","DO NOT BUY Leopard, their parts or derivative products. International trade or transport of leopards, their parts and derived products is illegal. Most countries also strictly regulate leopard trade and ownership. Leopards are dangerous, costly and difficult to keep. They do not make appropriate pets. Leopard derived medicines have no proven medicinal benefits. Disreputable Leopard tourism operators have been linked to the trafficking, abuse and killing of Leopard. Do not support operators that fail to be transparent about the source of their animals. Several thousand leopards are all that remain in the wild across the world. Report trade to trusted authorities.","INVESTIGATE. All international trade in leopards, their fur and meat is illegal. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Most countries require owners to hold a permit. Unscrupulous zoo, tour or breeding operations can be used in attempts to cover up illegal leopard trade. Examine each case for further investigative leads. Report.","","","(adult)  Length ~3m (head to tail tip) Weight: 40-90kg
Female Leopards are 20 - 40% smaller","Avoid handling animal unnecessarily. Request expert veterinary assistance. Biting and scratch risk, caution should always be used to avoid injury. Animal should be under mild sedative for safety, contain and do not approach until veterinarians or expert handlers arrive.","Trophies, Fur coat, Skin, and bones (sold as substitutes for Tiger bones) for food trade and traditional medicines.","The common means of transportation for Leopard skins and other body parts is moved by truck, car or trailer, boat (often frozen). Sedated cubs transported in suitcases by air and car. ","","animal,fur,4legs,yellow,black,medium,tail,white,brown","","Campylobacter, Cat Scratch disease, Cryptosporidiosis, Hook worm, Leptospirosis, Yersinia pestis (Plague), Q fever, Rabies, Ringworm infection, Roundworm, Salmonella, tapeworms, Toxoplasmosis","","1","2013-06-17 19:48:55","4","2016-03-29 04:11:30"
